City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2635,East London,ZA,65.75,light rain,-33.02,27.91,Tu Casa
2639,Port Alfred,ZA,66.0,light rain,-33.59,26.89,The Halyards Hotel
2643,Bambanglipuro,ID,72.84,light rain,-7.95,110.28,Puri Brata
2649,Manokwari,ID,74.46,light rain,-0.87,134.08,Swiss Belhotel Manokwari
2662,Hobart,AU,51.01,light intensity shower rain,-42.88,147.33,St Ives Apartments
2678,Tangshan,CN,52.11,moderate rain,39.63,118.17,Civil Affairs Hotel
2679,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
2683,Chimore,BO,83.84,moderate rain,-16.98,-65.13,Bichito
2691,Tevaitoa,PF,80.42,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
2699,San Quintin,PH,72.68,light rain,17.54,120.52,San Quintin River Resort
2709,Naze,NG,76.8,moderate rain,5.43,7.07,Female Hostel C
2732,Faanui,PF,81.3,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
2737,Kavieng,PG,79.77,light rain,-2.57,150.8,Nusa Island Retreat
2741,Ponta Do Sol,BR,72.01,moderate rain,-20.63,-46.0,Hotel Escarpas do Lago
2745,Mount Gambier,AU,52.2,light rain,-37.83,140.78,Best Western Southgate Motel
2780,Ko Samui,TH,82.04,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
2785,Kandrian,PG,72.75,moderate rain,-6.21,149.55,
2792,Santiago,PH,70.12,moderate rain,16.69,121.54,GraceHill EconoSuites
2806,Kingori,TZ,70.72,light rain,-3.38,37.02,Kia Lodge
2825,Kalmunai,LK,80.53,light rain,7.42,81.82,VS Villa
2836,Tuatapere,NZ,48.99,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
2840,Pereira Barreto,BR,77.77,light rain,-20.64,-51.11,Hotel Samambaia
2842,Redmond,US,51.01,light rain,47.67,-122.12,Seattle Marriott Redmond
2847,Oriximina,BR,88.34,light rain,-1.77,-55.87,Pousada Tia Amélia
2851,San Patricio,PY,82.83,light rain,-26.98,-56.83,Posada Doña Antonia
2852,Sabha,LY,76.66,light rain,27.03,14.43,محطة سفر غات
2856,Sibolga,ID,71.74,light rain,1.74,98.78,Hotel Syariah CN Darussalam
2857,Waipawa,NZ,65.05,light rain,-39.94,176.59,T A Commercial Hotel
2858,San Francisco,CO,59.22,light rain,1.17,-76.88,Estación de Policía San Francisco
2860,Lorengau,PG,82.22,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
2863,Frederico Westphalen,BR,86.0,light rain,-27.36,-53.4,Hotel Palace Frederico
2880,Nexo,DK,48.2,light rain,55.06,15.13,Strandhotel Balka Søbad
2888,Meulaboh,ID,81.19,light rain,4.14,96.13,Kost Pria
2895,Canoinhas,BR,69.22,moderate rain,-26.18,-50.4,Santa Catarina Plaza Hotel
2913,Port Blair,IN,80.94,light rain,11.67,92.75,Fortune Resort Bay Island
2924,Kudahuvadhoo,MV,81.95,moderate rain,2.67,72.89,Orange Inn Maldives
2935,Biak,ID,80.92,light rain,-0.91,122.88,Villa Mas Biak
2942,Paso De Los Toros,UY,73.9,light rain,-32.81,-56.52,Complejo Isabelino
2961,Sola,TZ,72.18,light rain,-3.17,33.8,Peace Hotel
2981,Shakiso,ET,59.09,moderate rain,5.77,38.9,Heluya International Hotel
2992,Qinhuangdao,CN,50.9,moderate rain,39.94,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
3004,Inirida,CO,84.74,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
3010,Soreang,ID,69.17,light rain,-7.03,107.52,Sutan Raja Hotel and Convention Centre
3011,Eldoret,KE,57.78,light rain,0.52,35.27,Flora Homes
3031,La Rioja,AR,75.92,light rain,-29.41,-66.86,Hotel Libertador
3058,Belmonte,PT,51.01,overcast clouds,40.36,-7.35,Pousada Convento de Belmonte
3068,Lannion,FR,50.0,light rain,48.73,-3.46,Hotel Arcadia
3085,Dukat,AL,61.0,moderate rain,40.25,19.57,Llogora Tourist Village
3097,Hofn,IS,45.43,light rain,64.25,-15.21,Hótel Höfn
3098,Rikitea,PF,71.92,light rain,-23.12,-134.97,Pension Maro'i
3108,Kilindoni,TZ,81.86,light rain,-7.91,39.67,Bustani B&B
3115,Finschhafen,PG,79.81,light rain,-6.6,147.85,
3122,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
3134,Hithadhoo,MV,81.05,light rain,-0.6,73.08,Scoop Guest House
